ALBUM_NAME,ARTIST,ALBUM_NAME_COMPLETE,SONG
The Number of the Beast,Iron Maiden,The Number of the Beast (1982), Hallowed Be Thy Name
Master of Puppets,Metallica,Master of Puppets (1986), Master of Puppets
Ace of Spades,Motörhead,Ace of Spades (1980), Ace of Spades
Black Sabbath,Black Sabbath,Black Sabbath (1970), Black Sabbath
Paranoid,Black Sabbath,Paranoid (1970), Paranoid
Ride the Lightning,Metallica,Ride the Lightning (1984), For Whom the Bell Tolls
Reign in Blood,Slayer,Reign in Blood (1986), Angel of Death
Sabotage,Black Sabbath,Sabotage (1975), Symptom of the Universe
Painkiller,Judas Priest,Painkiller (1990), Painkiller
The Number of the Beast,Iron Maiden,The Number of the Beast (1982), Children of the Damned
Iron Maiden,Iron Maiden,Iron Maiden (1980), Phantom of the Opera
Paranoid,Black Sabbath,Paranoid (1970), War Pigs
Ride the Lightning,Metallica,Ride the Lightning (1984), Fade to Black
...And Justice for All,Metallica,...And Justice for All (1988), One
Piece of Mind,Iron Maiden,Piece of Mind (1983), The Trooper
The Number of the Beast,Iron Maiden,The Number of the Beast (1982), The Number of the Beast
Paranoid,Black Sabbath,Paranoid (1970), Iron Man
Sabbath Bloody Sabbath,Black Sabbath,Sabbath Bloody Sabbath (1973), Sabbath Bloody Sabbath
Rust in Peace,Megadeth,Rust in Peace (1990), Holy Wars... The Punishment Due
Reign in Blood,Slayer,Reign in Blood (1986), Raining Blood
Rust in Peace,Megadeth,Rust in Peace (1990), Hangar 18
Ride the Lightning,Metallica,Ride the Lightning (1984), Creeping Death
Kill 'Em All,Metallica,Kill 'Em All (1983), The Four Horsemen
Peace Sells... But Who's Buying?,Megadeth,Peace Sells... But Who's Buying? (1986), Peace Sells
Overkill,Motörhead,Overkill (1979), Overkill
Sad Wings of Destiny,Judas Priest,Sad Wings of Destiny (1976), Victim of Changes
Holy Diver,Dio,Holy Diver (1983), Holy Diver
Heaven and Hell,Black Sabbath,Heaven and Hell (1980), Heaven and Hell
British Steel,Judas Priest,British Steel (1980), Breaking the Law
Powerslave,Iron Maiden,Powerslave (1984), Aces High
Ride the Lightning,Metallica,Ride the Lightning (1984), Ride the Lightning
Master of Reality,Black Sabbath,Master of Reality (1971), Sweet Leaf
Powerslave,Iron Maiden,Powerslave (1984), 2 Minutes to Midnight
Kill 'Em All,Metallica,Kill 'Em All (1983), Seek & Destroy
Black Sabbath Vol. 4,Black Sabbath,Black Sabbath Vol. 4 (1972), Snowblind
Screaming for Vengeance,Judas Priest,Screaming for Vengeance (1982), Electric Eye
